A 马列主义、毛泽东思想、邓小平理论
	A1 马克思、恩格斯著作
		A11 选集、文集
			A119 选读
		A12 单行著作
			A121 马克思主义形成时期（1848年以前）
			A122 革命风暴的高涨与低落时期（1848~1863年）
			A123 第一国际和巴黎公社时期（1864~1872年）
			A124 马克思主义广泛传播和各国建立社会主义政党时期（1873~1889年6月）
			A125 第二国际时期（1889年7月~1895年）
		A13 书信集、日记、函电、谈话
		A14 诗词
		A15 手迹
		A16 专题汇编
		A18 语录
	A2 列宁著作
		A21 选集、文集
			A219 选读
		A22 单行著作
			A221 俄国社会民主工党形成和布尔什维克派出现时期（1904年以前）
				A221.1 1899年以前
				A221.2 1900~1904年
			A222 第一次俄国革命时期（1905~1907年）
			A223 斯托雷平反动时期和布尔什维克形成独立政党时期（1908~1912年3月）
			A224 第一次世界大战以前工人运动的高涨及大战时期（1912年4月~1916年）
			A225 第二次俄国革命和社会主义革命时期（1917年）
			A226 帝国主义武装干涉和国内战争时期（1918~1920年）
			A227 国民经济恢复时期（1921~1924年）
		A23 书信集、日记、函电、谈话
		A24 诗词
		A25 手迹
		A26 专题汇编
		A28 语录
	A3 斯大林著作
		A31 选集、文集
			A319 选读
		A32 单行著作
			A321 十月社会主义革命及其以前（1917年及其以前）
			A322 帝国主义武装干涉和国内战争时期（1918~1920年）
			A323 国民经济恢复时期（1921~1925年）
			A324 为实现国家工业化而斗争时期（1926~1929年）
			A325 为实现农业集体化而斗争时期（1930~1934年）
			A326 社会主义建设时期（1935~1941年5月）
			A327 苏联卫国战争时期（1941年6月~1945年）
			A328 战后恢复和发展社会主义经济时期（1946~1953年）
		A33 书信集、日记、函电、谈话
		A34 诗词
		A35 手迹
		A36 专题汇编
		A38 语录
	A4 毛泽东著作
		A41 选集、文集
			A419 选读
		A42 单行著作
			A421 第一次国内革命战争以前（1924年以前）
			A422 第一次国内革命战争时期（1924~1927年7月）
			A423 第二次国内革命战争时期（1927年8月~1937年6月）
			A424 抗日战争时期（1937年7月~1945年8月）
			A425 第三次国内革命战争时期（1945年9月~1949年9月）
			A426 社会主义革命和社会主义建设时期（1949年10月~1976年）
		A43 书信集、日记、函电、谈话
		A44 诗词
		A45 手迹
		A46 专题汇编
		A48 语录
		A49 邓小平著作
			A491 选集、文集
				A491.9 选读
			A492 单行著作
			A493 书信集、日记、函电、谈话
			A494 诗词
			A495 手迹
			A496 专题汇编
			A498 语录
	A5 马克思、恩格斯、列宁、斯大林、毛泽东、邓小平著作汇编
		A56 专题汇编
		A58 语录
	A7 马克思、恩格斯、列宁、斯大林、毛泽东、邓小平的生平和传记
		A71 马克思
			A711 传记
			A712 生平事迹、回忆录
			A713 年谱、年表
			A714 纪念文集
			A715 阐述、研究
			A716 肖像、照片、画传、像章
			A717 纪念地、故居、遗物
		A72 恩格斯
		A73 列宁
		A74 斯大林
		A75 毛泽东
		A76 邓小平
	A8 马克思主义、列宁主义、毛泽东思想、邓小平理论的学习和研究
		A81 马克思主义的学习和研究
			A811 马克思、恩格斯著作的学习和研究
				A811.1 选集、文集
				A811.2 单行著作
				A811.3 书信集、日记、函电、谈话
				A811.4 诗词
				A811.5 手迹
				A811.6 专题汇编
				A811.8 语录
			A813 书目、索引
		A82 列宁主义的学习和研究
			A821 列宁著作的学习和研究
				A821.1 选集、文集
				A821.2 单行著作
				A821.3 书信集、日记、函电、谈话
				A821.5 手迹
				A821.6 专题汇编
				A821.8 语录
			A823 书目、索引
		A83 斯大林的思想的学习和研究
			A831 斯大林著作的学习和研究
				A831.1 选集、文集
				A831.2 单行著作
				A831.3 书信集、日记、函电、谈话
				A831.5 手迹
				A831.6 专题汇编
				A831.8 语录
			A833 书目、索引
		A84 毛泽东思想的学习和研究
			A841 毛泽东著作的学习和研究
				A841.1 选集、文集
				A841.2 单行著作
				A841.3 书信集、日记、函电、谈话
				A841.4 诗词
				A841.5 手迹
				A841.6 专题汇编
				A841.8 语录
			A843 书目、索引
			A849 邓小平理论的学习研究
				A849.1 邓小平著作的学习和研究
					A849.11 选集、文集
					A849.12 单行著作
					A849.13 书信集、日记、函电、谈话
					A849.14 诗词
					A849.15 手迹
					A849.16 专题汇编
					A849.18 语录
				A849.3 书目、索引
		A85 著作汇编的学习和研究
			A851.6 专题汇编
			A853 书目、索引
B 哲学、宗教
	B-4 哲学教育与普及
		B-49 哲学学习与普及
	B0 哲学理论
		B0-0 马克思主义哲学
		B01 哲学基本问题
			B013 哲学的阶级性和实践性
			B014 哲学的对象、目的与方法
			B015 唯物主义和唯心主义
			B016 本体论
				B016.8 宇宙论
				B016.9 时空论
			B017 认识论
				B017.8 决定论与非决定论
				B017.9 自我论
			B018 价值论
			B019.1 唯物主义
				B019.11 朴素唯物主义
				B019.12 形而上学唯物主义
				B019.13 辩证唯物主义
			B019.2 唯心主义
		B02 辩证唯物主义
			B021 物质论
				B021.2 运动论
				B021.3 时空论
				B021.4 物质运动的规律性
			B022 意识论
				B022.2 客观规律性与主观能动性
			B023 认识论、反映论
				B023.2 认识的辩证过程
				B023.3 真理论
			B024 唯物辩证法
				B024.1 内因与外因
				B024.2 矛盾的普遍性和特殊性
				B024.3 矛盾发展的不平衡性
				B024.4 矛盾的同一性和斗争性
				B024.5 对抗性矛盾与非对抗性矛盾
				B024.7 质变与量变
				B024.8 否定之否定
			B025 唯物辩证法诸范畴
				B025.1 现象与本质
				B025.2 形式与内容
				B025.3 全局与局部
				B025.4 分析与综合
				B025.5 原因与结果（因果论）
				B025.6 必然性与偶然性
				B025.7 可能性与现实性
				B025.9 其他哲学范畴
			B026 方法论
			B027 辩证唯物主义的应用
			B028 自然哲学
			B029 自然辩证法
		B03 历史唯物主义（唯物史观）
			B031 社会物质生活条件
			B032 社会基本矛盾
				B032.1 生产力和生产关系
				B032.2 经济基础和上层建筑
			B033 阶级理论
			B034 革命理论
			B035 国家理论
			B036 社会存在与社会意识
			B037 人民内部矛盾
			B038 人民在历史发展中的作用
		B08 哲学流派及其研究
			B081 唯心主义
				B081.1 形而上学
				B081.2 唯心主义认识论、先验论
			B082 实证论、经验批判主义（马赫主义）
			B083 唯意志论、生命哲学
			B084 新康德主义、新黑格尔主义
			B085 新实在论、逻辑实证论（新实证论、逻辑经验论）
			B086 存在主义（生存主义）
			B087 实用主义
			B088 新托马斯主义（新经院哲学）
			B089 其他哲学流派
				B089.1 西方马克思主义
				B089.2 哲学解释学
				B089.3 哲学人类学
	B1 世界哲学
		B12 古代哲学
		B13 中世纪哲学
		B14 近代哲学
			B141 十七世纪哲学
			B142 十八世纪哲学
			B143 十九世纪哲学
		B15 现代哲学
			B151 二十世纪哲学
